epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,194.426,0.54723,0.38845,0.90885,0.94869,0.97679,0.99395,0.88775,0.55095,0.37201,0.9108,0.000359409,0.000359409,0.000359409
43,198.966,0.57813,0.41056,0.94278,0.96561,0.9797,0.99404,0.87291,0.57522,0.37525,0.92252,0.000341077,0.000341077,0.000341077
44,203.215,0.55667,0.3822,0.94245,0.95535,0.98482,0.99355,0.8768,0.56646,0.36375,0.92061,0.000322745,0.000322745,0.000322745
45,206.88,0.5437,0.3859,0.9383,0.95003,0.99216,0.99378,0.86756,0.56249,0.36031,0.91607,0.000304414,0.000304414,0.000304414
46,210.482,0.53455,0.37007,0.92053,0.95494,0.9903,0.99291,0.86441,0.57324,0.36009,0.91203,0.000286083,0.000286083,0.000286083
47,215.514,0.59101,0.42844,0.97067,0.95558,0.97095,0.98875,0.86785,0.55465,0.35229,0.90603,0.000267751,0.000267751,0.000267751
48,219.205,0.54483,0.39475,0.94745,0.96158,0.96359,0.98898,0.86787,0.5392,0.36015,0.90584,0.00024942,0.00024942,0.00024942
49,223.12,0.57531,0.39785,0.97246,0.96652,0.97427,0.99244,0.86402,0.54585,0.35965,0.90368,0.000231088,0.000231088,0.000231088
50,227.679,0.49497,0.34838,0.90897,0.9795,0.97873,0.99444,0.88367,0.53803,0.35971,0.89525,0.000212757,0.000212757,0.000212757
51,245.916,0.40034,0.31231,0.83864,0.96802,0.99112,0.995,0.8852,0.53986,0.35627,0.89452,0.000194425,0.000194425,0.000194425
52,254.577,0.40754,0.3148,0.84403,0.97374,0.98909,0.995,0.87526,0.5455,0.34466,0.89929,0.000176094,0.000176094,0.000176094
53,260.043,0.41405,0.30142,0.85317,0.97333,0.9926,0.995,0.88282,0.5403,0.33931,0.89657,0.000157762,0.000157762,0.000157762
54,266.909,0.39756,0.28684,0.82098,0.97396,0.99168,0.995,0.88065,0.53824,0.3376,0.89908,0.000139431,0.000139431,0.000139431
55,271.062,0.38172,0.27179,0.82413,0.9737,0.99161,0.995,0.87867,0.54165,0.33086,0.9023,0.000121099,0.000121099,0.000121099
56,274.966,0.40007,0.27306,0.8286,0.98748,0.9763,0.995,0.87695,0.54991,0.33283,0.90551,0.000102768,0.000102768,0.000102768
57,279.959,0.37236,0.2621,0.81327,0.99133,0.97409,0.995,0.87847,0.55272,0.33521,0.90515,8.4436e-05,8.4436e-05,8.4436e-05
58,283.8,0.39067,0.26479,0.84021,0.99183,0.97451,0.995,0.87646,0.55589,0.32818,0.90676,6.61045e-05,6.61045e-05,6.61045e-05
59,287.535,0.36763,0.26403,0.82745,0.99081,0.9704,0.99444,0.88931,0.55522,0.32337,0.90756,4.7773e-05,4.7773e-05,4.7773e-05
60,292.24,0.37221,0.269,0.83441,0.99138,0.97046,0.99444,0.89176,0.55054,0.3224,0.90678,2.94415e-05,2.94415e-05,2.94415e-05
